6 Kelly Road,Chaska,44.80748337,-93.58500228,Unserved-City
6 Marcia Drive,Chaska,44.80775198,-93.58344359,Unserved-City
6 North Valley Road,Chaska,44.80822143,-93.58503279,Unserved-City
6 Rita Lane,Chaska,44.81006026,-93.5902771,Unserved-City
6 Somerset Drive,Waconia,44.83890014,-93.78678454,City
6 Terrace Drive West,Watertown,44.96415512,-93.84215756,City-LCP
6 Timothy Lane,Chaska,44.80942656,-93.58944778,Unserved-City
7 10th Street East,Waconia,44.83977958,-93.78590575,City
7 1st Street Northeast,Young America,44.78379922,-93.91622674,City
7 Crestview Terrace,Chaska,44.80850076,-93.58585862,Unserved-City
7 Dennis Lane,Chaska,44.8083989,-93.58851124,Unserved-City
7 Ehlers Avenue,Chaska,44.80065779,-93.57599019,Unserved-City
7 Judith Drive,Chaska,44.80967252,-93.58717128,Unserved-City
7 Kelly Road,Chaska,44.80777112,-93.58517112,Unserved-City
7 Lakeview Terrace Boulevard,Waconia,44.85505025,-93.79605458,City
7 Marcia Drive,Chaska,44.80718037,-93.58292925,Unserved-City
7 North Valley Road,Chaska,44.80847528,-93.58471478,Unserved-City
7 Rita Lane,Chaska,44.80970483,-93.58989865,Unserved-City
7 Somerset Drive,Waconia,44.83848694,-93.78673383,City
7 Terrace Drive West,Watertown,44.96426066,-93.84229406,City-LCP
7 Timothy Lane,Chaska,44.80906509,-93.58958796,Unserved-City
8 10th Street East,Waconia,44.84032217,-93.78581949,City
8 13th Street East,Waconia,44.83666503,-93.78649916,City
8 1st Street West,Waconia,44.84950041,-93.78660875,City
8 2nd Street West,Waconia,44.8484551,-93.78654223,City
8 Brookview Terrace,Chaska,44.80999818,-93.58593181,Unserved-City
8 Crestview Terrace,Chaska,44.80818028,-93.58626437,Unserved-City
8 Dennis Lane,Chaska,44.80873588,-93.58922815,Unserved-City
8 Ehlers Avenue,Chaska,44.80044315,-93.5756615,Unserved-City
8 Elm Street South,Waconia,44.85010534,-93.78624258,City
8 Janice Drive,Chaska,44.80935627,-93.58813771,Unserved-City
8 Judith Drive,Chaska,44.80854488,-93.58669308,Unserved-City
8 Kelly Road,Chaska,44.80745156,-93.58526531,Unserved-City
8 Lake Street East,Waconia,44.8516964,-93.78578636,City
8 Lake Street East BUILDING Marina,Waconia,44.85199953,-93.78571052,City
8 Lake Street West,Waconia,44.85179833,-93.7863479,City
8 North Valley Road,Chaska,44.80833063,-93.58511151,Unserved-City
8 Rita Lane,Chaska,44.81005914,-93.59009269,Unserved-City
8 Terrace Drive West,Watertown,44.96437006,-93.84244423,City-LCP
8 Timothy Lane,Chaska,44.80940271,-93.58932681,Unserved-City
9 1/2 Lake Street East,Waconia,44.85125469,-93.78558406,City
9 1st Street West,Waconia,44.84907769,-93.78656178,City
9 Birch Street South,Waconia,44.85004027,-93.77818519,City
9 Crestview Terrace,Chaska,44.80889334,-93.58650257,Unserved-City
9 Dennis Lane,Chaska,44.80839511,-93.5882756,Unserved-City
9 Ehlers Avenue,Chaska,44.80071487,-93.57585915,Unserved-City
9 Judith Drive,Chaska,44.80937284,-93.58734108,Unserved-City
9 Kelly Road,Chaska,44.80771139,-93.58532864,Unserved-City
9 Lake Street East,Waconia,44.85130251,-93.78558596,City
9 Lake Street West,Waconia,44.85130616,-93.78620779,City
9 Main Street East,Waconia,44.85007775,-93.78575376,City
9 Marcia Drive,Chaska,44.8074281,-93.58296768,Unserved-City
9 North Valley Road,Chaska,44.80862854,-93.58479161,Unserved-City
9 Rita Lane,Chaska,44.80973465,-93.58977057,Unserved-City
9 Terrace Drive West,Watertown,44.9644671,-93.84254978,City-LCP
9 Timothy Lane,Chaska,44.80910963,-93.58944717,Unserved-City
10 13th Street East,Waconia,44.83673987,-93.78641399,City
10 1st Avenue Northeast,Young America,44.78361701,-93.91484404,City
10 1st Street Northeast,Young America,44.7841556,-93.91611496,City
10 2nd Avenue Southeast,Young America,44.78296665,-93.91332472,City
10 2nd Street Southeast,Young America,44.78127374,-93.91613708,City
10 3rd Street Southeast,Young America,44.78305718,-93.91178315,City
10 4th Street Southwest,Young America,44.77871776,-93.91800332,City
10 8th Street East,Waconia,44.84330886,-93.78575767,City
10 Bayview Circle,Chaska,44.81250642,-93.59047361,Unserved-City
10 Brookview Terrace,Chaska,44.80974589,-93.58578942,Unserved-City
10 Carvers Green,Chaska,44.83570346,-93.5921598,Unserved-City
10 Crestview Terrace,Chaska,44.80826879,-93.58630728,Unserved-City
10 Dennis Lane,Chaska,44.80872725,-93.58905854,Unserved-City
10 Ehlers Avenue,Chaska,44.8004903,-93.57551813,Unserved-City
10 Fox Hollow Drive,Chanhassen,44.8861077,-93.52177032,City
10 Hill Street,Chanhassen,44.86651705,-93.52121728,City
10 Janice Drive,Chaska,44.80920874,-93.58810458,Unserved-City
10 Judith Drive,Chaska,44.80837007,-93.58668087,Unserved-City
10 Kelly Road,Chaska,44.80738539,-93.58548587,Unserved-City
10 Main Street East,Young America,44.78344398,-93.91638918,City
10 North Valley Road,Chaska,44.80843317,-93.58532792,Unserved-City
10 Pioneer Trail,Chanhassen,44.83116763,-93.52113008,City
10 Poplar Ridge Drive,Young America,44.77482213,-93.9187678,City
10 Rita Lane,Chaska,44.81009079,-93.58989247,Unserved-City
10 River Bend Place,Chaska,44.78381971,-93.60110883,Unserved-City
10 Somerset Drive,Waconia,44.83914506,-93.78715077,City
10 Terrace Drive West,Watertown,44.96459573,-93.84256886,City-LCP
10 Timothy Lane,Chaska,44.80938184,-93.5891909,Unserved-City
10 Trilane Drive,Young America,44.78654649,-93.91688754,City
11 3rd Avenue Southeast,Young America,44.78290376,-93.91231886,City
11 3rd Street Southeast,Young America,44.77979364,-93.9163765,City
11 4th Street Southwest,Young America,44.77833668,-93.91832933,City
11 Carvers Green,Chaska,44.83572632,-93.5922909,Unserved-City
11 Central Avenue North,Young America,44.78340144,-93.91686446,City
11 Central Avenue South,Young America,44.78302526,-93.91686366,City
11 Dana Circle,Waconia,44.85707566,-93.79730515,City
11 Ehlers Avenue,Chaska,44.80076688,-93.57569909,Unserved-City
11 Elm Street South,Waconia,44.85001061,-93.78573366,City
11 Judith Drive,Chaska,44.80882841,-93.58725737,Unserved-City
11 Kelly Road,Chaska,44.8077257,-93.58551919,Unserved-City
11 North Valley Road,Chaska,44.80869991,-93.58498027,Unserved-City
11 Olive Street North,Waconia,44.85075233,-93.78741836,City
11 Peavey Road,Chaska,44.84151497,-93.5970237,Unserved-City
11 Rita Lane,Chaska,44.80970705,-93.58953389,Unserved-City
11 River Bend Place,Chaska,44.78384475,-93.60097616,Unserved-City
11 Somerset Drive,Waconia,44.83848199,-93.7870725,City
11 Terrace Drive West,Watertown,44.96475048,-93.84277634,City-LCP
11 Timothy Lane,Chaska,44.8090489,-93.58935809,Unserved-City
11 Trilane Drive,Young America,44.78625518,-93.91679603,City
12 13th Street East,Waconia,44.83673961,-93.78632515,City
12 8th Street East,Waconia,44.84336571,-93.78556165,City
12 Bayview Circle,Chaska,44.81234507,-93.59047345,Unserved-City
12 Carvers Green,Chaska,44.83574855,-93.59242475,Unserved-City
12 Crestview Terrace,Chaska,44.80840483,-93.58628561,Unserved-City
12 Dennis Lane,Chaska,44.80873127,-93.58889617,Unserved-City
12 Ehlers Avenue,Chaska,44.80055052,-93.57537433,Unserved-City
12 Janice Drive,Chaska,44.80912732,-93.58808848,Unserved-City
12 Judith Drive,Chaska,44.80821207,-93.58675959,Unserved-City
12 Kelly Road,Chaska,44.80734576,-93.58572215,Unserved-City
12 Lakeview Terrace Boulevard,Waconia,44.85527182,-93.79678101,City
12 North Valley Road,Chaska,44.80850309,-93.58540435,Unserved-City
12 Point Drive,Waconia,44.85925595,-93.79393435,City
12 Riley Ridge,Chanhassen,44.84178313,-93.52111136,City
12 Rita Lane,Chaska,44.81010566,-93.58957806,Unserved-City
12 River Bend Place,Chaska,44.78357202,-93.60098561,Unserved-City
12 Terrace Drive West,Watertown,44.96483795,-93.84276604,City-LCP
12 Timothy Lane,Chaska,44.80937225,-93.58885672,Unserved-City
13 Anita Avenue,Waconia,44.85574284,-93.80110359,City
13 Ehlers Avenue,Chaska,44.80083411,-93.57558402,Unserved-City
13 Judith Drive,Chaska,44.80872611,-93.58712663,Unserved-City
13 Kelly Road,Chaska,44.80772615,-93.58570252,Unserved-City
13 Rita Lane,Chaska,44.80971022,-93.58940731,Unserved-City
13 River Bend Place,Chaska,44.78348068,-93.6009509,Unserved-City
13 Somerset Drive,Waconia,44.83848392,-93.78720548,City
13 Terrace Drive West,Watertown,44.96496342,-93.84269747,City-LCP
13 Timothy Lane,Chaska,44.80908827,-93.58913723,Unserved-City
14 10th Street West,Waconia,44.84033019,-93.78695076,City
14 13th Street East,Waconia,44.83668172,-93.78641432,City
14 1st Street Northeast,Young America,44.78418985,-93.9158965,City
14 1st Street Northwest,Young America,44.78414821,-93.91691345,City
14 Bayview Circle,Chaska,44.81216736,-93.59032761,Unserved-City
14 Crestview Terrace,Chaska,44.80856639,-93.58631359,Unserved-City
14 Dennis Lane,Chaska,44.80871723,-93.58873486,Unserved-City
14 Ehlers Avenue,Chaska,44.80059701,-93.57523905,Unserved-City
14 Janice Drive,Chaska,44.80889003,-93.58795901,Unserved-City
14 Judith Drive,Chaska,44.80813056,-93.58675689,Unserved-City
14 Main Street East,Young America,44.78347066,-93.91593875,City
14 North Valley Road,Chaska,44.80861404,-93.58552531,Unserved-City
14 Riley Ridge,Chanhassen,44.84185983,-93.52125279,City
14 Rita Lane,Chaska,44.81009998,-93.58931112,Unserved-City
14 River Bend Place,Chaska,44.7834092,-93.60092374,Unserved-City
14 Somerset Drive,Waconia,44.83890009,-93.78700998,City
14 Terrace Drive West,Watertown,44.96512253,-93.84263036,City-LCP
14 Timothy Lane,Chaska,44.80941332,-93.58872558,Unserved-City
14 Trilane Drive,Young America,44.78657619,-93.91723479,City
15 2nd Avenue Southeast,Young America,44.78276412,-93.91377268,City
15 3rd Avenue Southeast,Young America,44.78274226,-93.91218883,City
15 3rd Street Southeast,Young America,44.77979793,-93.91584238,City
15 Central Avenue North,Young America,44.78361821,-93.9168795,City
15 Central Avenue South,Young America,44.78274006,-93.91688496,City
15 Choctaw Circle,Chanhassen,44.87923785,-93.52174316,City
15 Ehlers Avenue,Chaska,44.80090853,-93.57552385,Unserved-City
15 Judith Drive,Chaska,44.80860898,-93.58714517,Unserved-City
15 Kelly Road,Chaska,44.80769912,-93.58589001,Unserved-City
15 Lakeview Terrace Boulevard,Waconia,44.8552991,-93.79608026,City
15 North Valley Road,Chaska,44.80881327,-93.585197,Unserved-City
15 Olive Street North,Waconia,44.85079656,-93.78741838,City
15 Rita Lane,Chaska,44.80971103,-93.58924907,Unserved-City
15 River Bend Place,Chaska,44.78331787,-93.60088903,Unserved-City
15 Somerset Drive,Waconia,44.83848199,-93.78710084,City
15 Terrace Drive West,Watertown,44.96523913,-93.84251743,City-LCP
15 Thomas Lane,Chaska,44.80669499,-93.58883601,Unserved-City
15 Timothy Lane,Chaska,44.80908654,-93.588986,Unserved-City
16 1/2 Elm Street South,Waconia,44.85000196,-93.78629012,City
16 13th Street East,Waconia,44.83668145,-93.78632549,City
16 1st Avenue Southeast,Young America,44.78270359,-93.91472139,City
16 1st Street West,Waconia,44.84966096,-93.78675413,City
16 2nd Avenue Southeast,Young America,44.78276794,-93.9131638,City
16 2nd Street West,Waconia,44.84846935,-93.78674496,City
16 Anita Avenue,Waconia,44.85568824,-93.80166741,City
16 Bayview Circle,Chaska,44.81205162,-93.59027251,Unserved-City
16 Dennis Lane,Chaska,44.8087448,-93.58857319,Unserved-City
16 Ehlers Avenue,Chaska,44.80065726,-93.57510128,Unserved-City
16 Elm Street South,Waconia,44.84999998,-93.78624599,City
16 Judith Drive,Chaska,44.8080138,-93.58666814,Unserved-City
16 Lake Street West,Waconia,44.85174647,-93.78656912,City
16 Main Street West,Waconia,44.85060243,-93.78663351,City
16 Maple Street North,Waconia,44.85094468,-93.79090657,City
16 North Valley Road,Chaska,44.80870679,-93.58562759,Unserved-City
16 Riley Ridge,Chanhassen,44.84196689,-93.52145918,City
16 Rita Lane,Chaska,44.81008511,-93.58916676,Unserved-City
16 River Bend Place,Chaska,44.78315457,-93.60053758,Unserved-City
16 Terrace Drive West,Watertown,44.96535239,-93.8424171,City-LCP
16 Thomas Lane,Chaska,44.80663054,-93.58883688,Unserved-City
16 Timothy Lane,Chaska,44.8094192,-93.58855684,Unserved-City
17 1st Street Northeast,Young America,44.78379929,-93.91562075,City
17 1st Street West,Waconia,44.84916911,-93.78679354,City
17 2nd Street East,Waconia,44.84792235,-93.78544227,City
17 Dana Circle,Waconia,44.85720664,-93.79763734,City
17 Ehlers Avenue,Chaska,44.80095865,-93.57534907,Unserved-City
17 Judith Drive,Chaska,44.80842875,-93.58717493,Unserved-City
17 Kelly Road,Chaska,44.80766169,-93.58633405,Unserved-City
17 Lake Street West,Waconia,44.85131434,-93.78648255,City
17 Maple Street North,Waconia,44.85091038,-93.79036579,City
17 North Valley Road,Chaska,44.80898482,-93.58533205,Unserved-City
17 Riley Ridge,Chanhassen,44.84221928,-93.52110851,City
17 Rita Lane,Chaska,44.80968548,-93.58900889,Unserved-City
17 River Bend Place,Chaska,44.78311341,-93.60065722,Unserved-City
17 Somerset Drive,Waconia,44.83848304,-93.78717097,City
17 Terrace Drive West,Watertown,44.96549839,-93.84233289,City-LCP
17 Thomas Lane,Chaska,44.8064184,-93.58884637,Unserved-City
17 Timothy Lane,Chaska,44.80908022,-93.58875735,Unserved-City
18 13th Street East,Waconia,44.83669508,-93.78615587,City
18 1st Street Northeast,Young America,44.78415933,-93.91564963,City
18 1st Street Northwest,Young America,44.78415131,-93.91719868,City
18 3rd Avenue Southeast,Young America,44.78290672,-93.91172696,City
